n,activation_time,mode
257,2.510250748425272,default
258,2.5102856033769614,default
259,2.5114930062762637,default
260,2.5116348382037277,default
261,2.662414,default
262,2.512334815087529,default
263,2.5124705612290996,default
264,2.5133277138971786,default
265,4.713823691270709,default
266,4.26784,default
267,2.514265005355647,default
268,2.514619031299194,default
269,2.515165395383315,default
270,4.436705,default
271,2.661954,default
272,2.675389,default
273,2.516734363910467,default
274,2.517091265031173,default
275,2.5177356830634214,default
276,2.5177869091672536,default
277,2.51848737911089,default
278,2.5187227017373495,default
279,2.661610,default
280,2.5193662474222682,default
281,2.5197412676045774,default
282,2.519804323189073,default
283,2.661489,default
284,2.5206048844652087,default
285,2.520975392321274,default
286,2.521141145462819,default
287,2.5213180901183274,default
288,2.5213439775752713,default
289,2.5216894994423593,default
290,2.522084705461393,default
291,2.522332769993374,default
292,2.5224343823137048,default
293,2.618822,default
294,2.5232436186726117,default
295,2.523739722909686,default
296,2.523957118104153,default
297,2.524753393413257,default
298,2.5248167443896588,default
299,2.5249360320249,default
300,2.5249967447642354,default
301,2.525124847672307,default
302,2.5255601501201563,default
303,2.576156,default
304,2.526045983732094,default
305,2.5266057499728296,default
306,2.5273648367997397,default
307,2.5278045689535693,default
308,2.528007923113733,default
309,2.5287327908851283,default
310,2.528742703527809,default
311,2.528952744719233,default
312,2.5293892585363933,default
313,2.5296372138429404,default
314,2.5296830489059903,default
315,2.660146,default
316,2.5304642410040143,default
317,2.530665127179592,default
318,2.530710188523805,default
319,2.5309795763963767,default
320,2.53119643510717,default
321,2.5312023265033616,default
322,2.617583,default
323,2.532006833308066,default
324,2.5320240300224253,default
325,2.532068725067652,default
326,2.532698879801785,default
327,2.5329893735090265,default
328,2.533047857773225,default
329,2.5331920650534787,default
330,2.701780,default
331,2.5348314058477732,default
332,2.53504248850323,default
333,2.5351568054637577,default
334,2.5351568608310173,default
335,2.5357125963873646,default
336,2.617015,default
337,2.5363960471757276,default
338,2.5366102251249893,default
339,2.536658525319093,default
340,2.5370994399100706,default
341,2.537127163791066,default
342,2.489996,default
343,2.5393489422093776,default
344,2.65890,default
345,2.5402018711927767,default
346,2.5404120580362997,default
347,2.5406318828420815,default
348,2.540752033873832,default
349,2.5408900969076855,default
350,2.541480839257451,default
351,2.5421617571450685,default
352,2.542242691271681,default
353,2.5422431780903154,default
354,2.5423126790218817,default
355,2.65844,default
356,2.5424474605521756,default
357,2.5427296446756134,default
358,2.542815151670058,default
359,2.542872749741086,default
360,2.5429102718412646,default
361,2.5429763621995916,default
362,2.5434272362184225,default
363,2.658132,default
364,2.5434532551044207,default
365,2.544345976563801,default
366,2.5444927556850474,default
367,2.544514887537438,default
368,2.5451259301570635,default
369,2.545398890428438,default
370,2.545419139467917,default
371,2.573263,default
372,2.5459046776795136,default
373,2.54620726115494,default
374,2.546231867140502,default
375,2.54636348953725,default
376,2.5464298035778175,default
377,2.5464391730974825,default
378,4.263094,default
379,2.5468825120835774,default
380,4.981352,default
381,2.547143486731506,default
382,2.547516682397289,default
383,2.5479330163684106,default
384,2.5488015019896313,default
385,2.5488208793371263,default
386,4.769826,default
387,2.549139471970003,default
388,2.550181214517295,default
389,2.5505174470106953,default
390,2.550531844378,default
391,2.5507053202686123,default
392,2.550852064462863,default
393,2.656840,default
394,2.5511011768493645,default
395,2.551609606909641,default
396,2.551695058306192,default
397,2.551910684606189,default
398,2.5525642109085274,default
399,2.614329,default
400,2.553003279072322,default
401,2.553264396034664,default
402,2.5536694797328896,default
403,2.553934284305959,default
404,2.5549545418241006,default
405,2.5550941601558086,default
406,2.5555801961242306,default
407,4.092892,default
408,3.5435448,default
408,2.956230982254912,default
409,2.5563769902444995,default
410,2.825131,default
411,2.5566345772087034,default
412,2.556997305652402,default
413,2.557172298033871,default
414,2.557741566801553,default
415,2.5577482814188386,default
416,2.5578165400439397,default
417,2.5578176227299947,default
418,2.557837848050739,default
419,2.5579352149242216,default
420,2.5580538861957196,default
421,2.5581395614478817,default
422,2.5584308949818184,default
423,2.5585669985099546,default
424,2.5588485462543478,default
425,2.613244,default
426,2.559455592198388,default
427,2.866662,default
428,2.5597279337160463,default
429,2.5599896615112168,default
430,3.753882,default
431,4.4721925,default
432,2.5606229280271102,default
433,2.612882,default
434,2.560951355924276,default
435,2.561088294243266,default
436,2.5614058207961956,default
437,2.5617403612259273,default
438,2.5617817657683415,default
439,2.5622123941892454,default
440,2.5625208532592,default
441,2.5626394630674856,default
442,2.5627430369170634,default
443,2.5628595008777078,default
444,2.5630972553652818,default
445,2.5640243950219244,default
446,2.5643041938092406,default
447,2.5650700499530713,default
448,2.565175551104168,default
449,2.56557634411224,default
450,2.566208501112705,default
451,2.5662210020012215,default
452,2.566498032753088,default
453,2.566715531670927,default
454,2.5668008647745224,default
455,2.5668723340274733,default
456,2.567344253796471,default
