n,activation_time,mode
477,6.620269,modified
478,6.653469,modified
479,6.660729,modified
480,8.146131,modified
481,6.703338,modified
482,6.717984,modified
483,6.736922,modified
484,7.469919,modified
485,6.793811,modified
486,12.878267,modified
487,6.790699,modified
488,6.624642,modified
489,6.842033,modified
490,6.845020,modified
491,7.300595,modified
492,6.868780,modified
493,6.881895,modified
494,6.900947,modified
495,6.914413,modified
496,6.916885,modified
497,6.943499,modified
498,6.944762,modified
499,6.999882,modified
500,6.962205,modified
501,7.03534463221,modified
502,6.497313,modified
503,7.1498182713,modified
504,7.173266,modified
505,7.18480668098,modified
506,13.426736,modified
507,7.23176544429,modified
508,7.23966683408,modified
509,7.24602466869,modified
510,7.248450034,modified
511,7.27439895875,modified
512,7.27555526154,modified
513,7.28090534114,modified
514,6.834825,modified
515,7.32555003796,modified
516,7.33269781653,modified
517,7.172750,modified
518,11.186834,modified
519,6.66560487620,modified
520,7.39768841362,modified
521,7.40922180502,modified
522,8.9894452,modified
523,9.327473,modified
523,7.42935187257,modified
524,7.44269657553,modified
525,7.4434900984,modified
526,7.45416061425,modified
527,7.54197041803,modified
528,7.54637171605,modified
529,7.55228246364,modified
530,7.55660162341,modified
531,7.5819926443,modified
532,7.60992822103,modified
533,7.63156334551,modified
534,7.66238559724,modified
535,7.71104681781,modified
536,7.72825825948,modified
537,7.76499580772,modified
538,7.77019133341,modified
539,7.81046053849,modified
540,7.87890088373,modified
541,7.88479313147,modified
542,7.89312265268,modified
543,7.89453411846,modified
544,7.90770004582,modified
545,7.91347655846,modified
546,7.94596234945,modified
547,7.95322495893,modified
548,7.99054002203,modified
549,7.99783143232,modified
550,8.00126937557,modified
551,8.02172705769,modified
552,8.03147390419,modified
553,8.06007172767,modified
554,8.06460057316,modified
555,10.213406,modified
556,8.10289779426,modified
557,8.10439927615,modified
558,8.12435453291,modified
559,9.15685801852,modified
560,8.22626439797,modified
561,8.228764737,modified
562,10.804640,modified
563,10.339801,modified
564,8.36915947588,modified
565,8.37582228057,modified
566,11.649557,modified
567,9.62133682289,modified
568,8.44563847604,modified
569,8.46177228924,modified
570,13.339491,modified
571,8.49626645016,modified
572,11.607045,modified
573,8.52905735191,modified
574,10.550604,modified
575,13.170271,modified
576,8.58858703992,modified
577,8.58872316554,modified
578,8.60321501844,modified
579,8.6992127849,modified
580,8.70064194636,modified
581,8.70791585304,modified
582,8.73352973024,modified
583,8.74676551045,modified
584,8.77274555282,modified
585,8.83776710455,modified
586,8.84384297241,modified
587,8.85188346587,modified
588,8.86983621769,modified
589,8.8710277187,modified
590,8.87670992583,modified
591,11.859740,modified
592,8.90884140418,modified
593,8.92735525505,modified
594,8.94419112868,modified
595,8.96136200927,modified
596,10.6341816178,modified
597,9.03402023848,modified
598,9.04933987148,modified
599,9.05289765703,modified
600,9.11296371781,modified
601,10.4227073935,modified
602,9.15215238049,modified
603,9.15960104108,modified
604,9.19153978873,modified
605,9.21744745323,modified
606,9.22612776858,modified
607,9.2428582035,modified
608,9.25016726848,modified
609,9.26983405393,modified
610,9.30156167313,modified
611,9.30860472718,modified
612,9.3168039391,modified
613,9.31829593222,modified
614,9.34514906692,modified
615,9.35066435977,modified
616,9.3633158136,modified
617,9.36343960704,modified
618,9.36881855126,modified
619,9.40667021609,modified
620,9.44568961017,modified
621,9.50447988197,modified
622,9.54682272615,modified
623,9.56462398758,modified
624,9.57122789004,modified
625,9.58140069822,modified
626,9.63312878944,modified
627,9.63836773868,modified
628,9.652210251,modified
629,9.65362040037,modified
630,9.69123309241,modified
631,9.75607921583,modified
632,9.77368319523,modified
633,12.322772,modified
634,9.87234749986,modified
635,12.871965,modified
636,9.9277203321,modified
637,9.94202394134,modified
638,9.94270871185,modified
639,9.99551064144,modified
640,11.0092398756,modified
641,10.1463619338,modified
642,11.0612761331,modified
643,11.1032683478,modified
644,11.1840662572,modified
645,11.2053840404,modified
646,11.2593902693,modified
647,11.2653667203,modified
648,11.2902505352,modified
649,10.291094105,modified
650,11.3228132428,modified
651,11.3303830282,modified
652,11.3344176449,modified
653,10.3566241125,modified
654,10.4066208296,modified
655,11.4246152568,modified
656,11.4714426084,modified
657,10.472869531,modified
658,11.4790607197,modified
659,11.4803270351,modified
660,11.4804078617,modified
661,11.5243650416,modified
662,11.5459441197,modified
663,11.5528608598,modified
664,11.6320907064,modified
665,11.6331616415,modified
666,11.6582326873,modified
667,11.7059239841,modified
668,11.7071559487,modified
669,11.7168937983,modified
670,11.7189299977,modified
671,10.751105046,modified
672,11.7641713797,modified
673,11.7743567088,modified
674,11.7745749918,modified
675,11.7900312288,modified
676,11.7929306559,modified
677,11.7953395342,modified
678,11.8035473114,modified
679,11.8117878976,modified
680,11.8693345159,modified
681,11.9239639793,modified
682,10.9315787693,modified
683,11.938759397,modified
684,11.976709911,modified
685,11.041687443,modified
686,11.0546019984,modified
687,11.0588668049,modified
688,11.0608427411,modified
689,17.137298,modified
690,11.0934788628,modified
691,11.103767439,modified
692,11.1204631599,modified
693,11.1259716704,modified
694,11.169149819,modified
695,11.1897206841,modified
696,11.2072645246,modified
697,11.2851265411,modified
698,11.3189773496,modified
699,11.3222638327,modified
700,11.3657665756,modified
701,11.374533991,modified
702,11.3983105086,modified
703,11.4251071882,modified
704,11.4257741686,modified
705,11.4581409053,modified
706,11.4965584579,modified
707,11.5005044488,modified
708,11.5365492775,modified
709,17.7280209373,modified
710,11.5523772146,modified
711,11.5633024265,modified
712,11.5648500326,modified
713,11.6397763948,modified
714,11.665298198,modified
715,11.6848885093,modified
716,11.6987343012,modified
717,11.7004974663,modified
718,11.7111072284,modified
719,11.7444536882,modified
720,11.7617756546,modified
721,11.7807188068,modified
722,11.8089068865,modified
723,11.8443274313,modified
724,11.8580981719,modified
725,11.8589186987,modified
726,11.8732956387,modified
727,11.9068449857,modified
728,12.741279,modified
729,11.9317836405,modified
730,11.9338797246,modified
731,11.960537517,modified
732,12.0120081361,modified
733,12.0831489922,modified
734,12.111224265,modified
735,12.1230502282,modified
736,12.139855292,modified
737,12.1787125245,modified
738,12.1803149668,modified
739,12.1829473397,modified
740,12.1986372815,modified
741,12.2370030381,modified
742,12.2560167951,modified
743,12.3030602463,modified
744,12.3052603868,modified
745,12.3250298013,modified
746,12.34746252,modified
747,12.3540571827,modified
748,12.3653420839,modified
749,12.3879729049,modified
750,12.4149852826,modified
751,12.4158673583,modified
752,12.4372866878,modified
753,12.4643662721,modified
754,12.484214783,modified
755,12.5009128016,modified
756,12.5399903336,modified
757,12.5640039719,modified
758,12.5652566408,modified
759,12.8684941231,modified
760,12.5948186927,modified
761,12.5962155714,modified
762,12.6118741095,modified
763,12.6193120874,modified
764,12.6313858435,modified
765,12.6437458181,modified
766,12.6783925119,modified
767,12.7002169597,modified
768,12.7074821236,modified
769,12.7294843887,modified
770,12.7517100946,modified
771,12.7716559534,modified
772,12.7778492332,modified
773,12.7874408671,modified
774,12.7965410181,modified
775,12.8058686834,modified
776,12.8342270729,modified
777,12.8517664319,modified
778,12.9750115849,modified
779,12.9764990247,modified
780,13.0058223198,modified
781,20.6827197906,modified
782,13.076083293,modified
783,13.0794580651,modified
784,13.083923228,modified
785,13.0866395529,modified
786,13.1015219036,modified
787,13.1734480536,modified
788,13.1823737805,modified
789,13.2162858113,modified
790,13.2179120405,modified
